id,sales_datetime,sales_count
db80363d35f10926,01/01/2016,5
db80363d35f10926,01/01/2016,2
db80363d35f10926,01/01/2016,4
db80363d35f10926,02/01/2016,2
db80363d35f10926,02/01/2016,3
db80363d35f10926,02/01/2016,6
db80363d35f10926,02/01/2016,2
db80363d35f10926,02/01/2016,4
db80363d35f10926,02/01/2016,8
db80363d35f10926,02/01/2016,3
db80363d35f10926,02/01/2016,5
db80363d35f10926,02/01/2016,6
db80363d35f10926,02/01/2016,6
24b9b2a020826ede,04/01/2016,7
3cad29d1a23209d2,06/01/2016,4
3cad29d1a23209d2,04/01/2016,2
3cad29d1a23209d2,05/01/2016,4
632ba66e1f75aa28,06/01/2016,2
632ba66e1f75aa28,06/01/2016,2
db80363d35f10926,05/01/2016,2
db80363d35f10926,04/01/2016,3
24b9b2a020826ede,06/01/2016,5
24b9b2a020826ede,06/01/2016,2
24b9b2a020826ede,04/01/2016,10
db80363d35f10926,07/01/2016,6
db80363d35f10926,07/01/2016,14
632ba66e1f75aa28,08/01/2016,2
632ba66e1f75aa28,07/01/2016,2
632ba66e1f75aa28,08/01/2016,2
3cad29d1a23209d2,06/01/2016,2
db80363d35f10926,04/01/2016,3
632ba66e1f75aa28,07/01/2016,2
db80363d35f10926,08/01/2016,5
f068442ebb6c246c,06/01/2016,2
f068442ebb6c246c,06/01/2016,5
3cad29d1a23209d2,06/01/2016,3
3cad29d1a23209d2,05/01/2016,2
3cad29d1a23209d2,09/01/2016,2
db80363d35f10926,09/01/2016,13
24b9b2a020826ede,04/01/2016,3
3cad29d1a23209d2,04/01/2016,2
db80363d35f10926,03/01/2016,37
632ba66e1f75aa28,11/01/2016,2
db80363d35f10926,11/01/2016,2
3cad29d1a23209d2,10/01/2016,2
3cad29d1a23209d2,11/01/2016,2
24b9b2a020826ede,05/01/2016,2
24b9b2a020826ede,04/01/2016,3
db80363d35f10926,04/01/2016,3
24b9b2a020826ede,12/01/2016,2
24b9b2a020826ede,06/01/2016,2
24b9b2a020826ede,08/01/2016,5
24b9b2a020826ede,12/01/2016,4
24b9b2a020826ede,09/01/2016,2
24b9b2a020826ede,10/01/2016,3
3cad29d1a23209d2,14/01/2016,4
632ba66e1f75aa28,14/01/2016,2
db80363d35f10926,12/01/2016,3
24b9b2a020826ede,13/01/2016,8
24b9b2a020826ede,14/01/2016,2
24b9b2a020826ede,08/01/2016,3
24b9b2a020826ede,12/01/2016,2
db80363d35f10926,07/01/2016,9
db80363d35f10926,12/01/2016,2
db80363d35f10926,14/01/2016,9
db80363d35f10926,15/01/2016,4
f068442ebb6c246c,14/01/2016,4
3cad29d1a23209d2,06/01/2016,2
632ba66e1f75aa28,15/01/2016,2
3cad29d1a23209d2,09/01/2016,4
3cad29d1a23209d2,14/01/2016,5
